Model, Model
0, 44.7885139432391
256, 51.577027886478206
512, 58.365541829717316
768, 65.15405577295641
1024, 71.94256971619552
1280, 78.73108365943463
1536, 85.51959760267373
1792, 92.30811154591282
2048, 99.09662548915193
2304, 105.88513943239104
2560, 112.67365337563014
2816, 119.46216731886925
3072, 126.25068126210834
3328, 133.03919520534745
3584, 139.82770914858656
3840, 146.61622309182565
4096, 153.40473703506478
4352, 160.19325097830387
4608, 166.98176492154298
4864, 173.77027886478209
5120, 180.55879280802117
5376, 187.34730675126028
5632, 194.1358206944994
5888, 200.9243346377385
6144, 207.7128485809776
6400, 214.5013625242167
6656, 221.2898764674558
6912, 228.0783904106949
7168, 234.86690435393402
7424, 241.6554182971731
7680, 248.4439322404122
7936, 255.23244618365132
8192, 262.02096012689043
8448, 268.80947407012957
8704, 275.59798801336865
8960, 282.38650195660773
9216, 289.1750158998468
9472, 295.96352984308595
9728, 302.75204378632503
9984, 309.54055772956417
10240, 316.32907167280325
10496, 323.11758561604233
10752, 329.9060995592815
11008, 336.69461350252055
11264, 343.4831274457597
11520, 350.2716413889988
11776, 357.06015533223785
12032, 363.848669275477
12288, 370.6371832187161
12544, 377.4256971619552
12800, 384.2142111051943
13056, 391.0027250484334
13312, 397.7912389916725
13568, 404.5797529349116
13824, 411.3682668781507
14080, 418.1567808213898
14336, 424.9452947646289
14592, 431.73380870786804
14848, 438.5223226511071
15104, 445.3108365943462
15360, 452.09935053758534
15616, 458.8878644808244
15872, 465.67637842406356
16128, 472.46489236730264
16384, 479.2534063105417
16640, 486.04192025378086
16896, 492.83043419701994
17152, 499.6189481402591
17408, 506.40746208349816
17664, 513.1959760267373
17920, 519.9844899699764
18176, 526.7730039132155
18432, 533.5615178564547
18688, 540.3500317996936
18944, 547.1385457429328
19200, 553.9270596861719
19456, 560.715573629411
19712, 567.5040875726501
19968, 574.2926015158891
20224, 581.0811154591283
20480, 587.8696294023674
20736, 594.6581433456065
20992, 601.4466572888456
21248, 608.2351712320847
21504, 615.0236851753239
21760, 621.812199118563
22016, 628.600713061802
22272, 635.3892270050411
22528, 642.1777409482802
22784, 648.9662548915194
23040, 655.7547688347585
23296, 662.5432827779975
23552, 669.3317967212366
23808, 676.1203106644757
24064, 682.9088246077149
24320, 689.697338550954
24576, 696.4858524941931
24832, 703.2743664374321
25088, 710.0628803806712
25344, 716.8513943239104
25600, 723.6399082671495
25856, 730.4284222103886
26112, 737.2169361536277
26368, 744.0054500968668
26624, 750.793964040106
26880, 757.582477983345
27136, 764.3709919265841
27392, 771.1595058698232