"addmont-model", "addmont-model"
1, 2
2, 2
3, 2
4, 2
5, 2
6, 2
7, 2
8, 2
9, 3
10, 3
11, 3
12, 3
13, 3
14, 3
15, 3
16, 3
17, 4
18, 4
19, 4
20, 4
21, 4
22, 4
23, 4
24, 4
25, 5
26, 5
27, 5
28, 5
29, 5
30, 5
31, 5
32, 5
33, 6
34, 6
35, 6
36, 6
37, 6
38, 6
39, 6
40, 6
41, 7
42, 7
43, 7
44, 7
45, 7
46, 7
47, 7
48, 7
49, 8
50, 8
51, 8
52, 8
53, 8
54, 8
55, 8
56, 8
57, 9
58, 9
59, 9
60, 9
61, 9
62, 9
63, 9
64, 9
65, 10
66, 10
67, 10
68, 10
69, 10
70, 10
71, 10
72, 10
73, 11
74, 11
75, 11
76, 11
77, 11
78, 11
79, 11
80, 11
81, 12
82, 12
83, 12
84, 12
85, 12
86, 12
87, 12
88, 12
89, 13
90, 13
91, 13
92, 13
93, 13
94, 13
95, 13
96, 13
97, 14
98, 14
99, 14
100, 14
101, 14
102, 14
103, 14
104, 14
105, 15
106, 15
107, 15
108, 15
109, 15
110, 15
111, 15
112, 15
113, 16
114, 16
115, 16
116, 16
117, 16
118, 16
119, 16
120, 16
121, 17
122, 17
123, 17
124, 17
125, 17
126, 17
127, 17
128, 17