"mulmont-model", "mulmont-model"
1, 2
2, 2
3, 3
4, 4
5, 5
6, 6
7, 8
8, 10
9, 12
10, 14
11, 17
12, 20
13, 23
14, 26
15, 30
16, 34
17, 38
18, 42
19, 47
20, 52
21, 57
22, 62
23, 68
24, 74
25, 80
26, 86
27, 93
28, 100
29, 107
30, 114
31, 122
32, 130
33, 138
34, 146
35, 155
36, 164
37, 173
38, 182
39, 192
40, 202
41, 212
42, 222
43, 233
44, 244
45, 255
46, 266
47, 278
48, 290
49, 302
50, 314
51, 327
52, 340
53, 353
54, 366
55, 380
56, 394
57, 408
58, 422
59, 437
60, 452
61, 467
62, 482
63, 498
64, 514
65, 530
66, 546
67, 563
68, 580
69, 597
70, 614
71, 632
72, 650
73, 668
74, 686
75, 705
76, 724
77, 743
78, 762
79, 782
80, 802
81, 822
82, 842
83, 863
84, 884
85, 905
86, 926
87, 948
88, 970
89, 992
90, 1014
91, 1037
92, 1060
93, 1083
94, 1106
95, 1130
96, 1154
97, 1178
98, 1202
99, 1227
100, 1252
101, 1277
102, 1302
103, 1328
104, 1354
105, 1380
106, 1406
107, 1433
108, 1460
109, 1487
110, 1514
111, 1542
112, 1570
113, 1598
114, 1626
115, 1655
116, 1684
117, 1713
118, 1742
119, 1772
120, 1802
121, 1832
122, 1862
123, 1893
124, 1924
125, 1955
126, 1986
127, 2018
128, 2050