"mulmont", "mulmont-go"
64, 31.32
128, 38.99
192, 43.35
256, 51.71
320, 68.26
384, 77.33
448, 93.11
512, 111.0
576, 147.5
640, 169.4
704, 1288.0
768, 1320.0
832, 1396.0
896, 1428.0
960, 1514.0
1024, 1591.0
1088, 1764.0
1152, 1797.0
1216, 1719.0
1280, 1702.0
1344, 1713.0
1408, 1974.0
1472, 2237.0
1536, 1826.0
1600, 1824.0
1664, 1869.0
1728, 2062.0
1792, 2120.0
1856, 2083.0
1920, 2201.0
1984, 2722.0
2048, 2682.0
2112, 2552.0
2176, 2427.0
2240, 2406.0
2304, 2360.0
2368, 2528.0
2432, 2673.0
2496, 2670.0
2560, 2625.0
2624, 2670.0
2688, 2659.0
2752, 2670.0
2816, 2872.0
2880, 2922.0
2944, 3004.0
3008, 3221.0
3072, 4225.0
3136, 3364.0
3200, 3247.0
3264, 3276.0
3328, 3427.0
3392, 3175.0
3456, 3256.0
3520, 3265.0
3584, 3390.0
3648, 3341.0
3712, 3649.0
3776, 3553.0
3840, 3504.0
3904, 3578.0
3968, 3727.0
4032, 3667.0