"Montgomery Modular Multiplication", "mont-arith", "model"
1, 1, 2
2, 2, 2
3, 2, 3
4, 3, 4
5, 4, 5
6, 6, 6
7, 8, 8
8, 9, 10
9, 12, 12
10, 14, 14
11, 104, 17
12, 103, 20
13, 115, 23
14, 115, 26
15, 120, 30
16, 121, 34
17, 135, 38
18, 125, 42
19, 132, 47
20, 143, 52
21, 140, 57
22, 139, 62
23, 141, 68
24, 144, 74
25, 151, 80
26, 154, 86
27, 154, 93
28, 156, 100
29, 159, 107
30, 162, 114
31, 167, 122
32, 176, 130
33, 182, 138
34, 188, 146
35, 184, 155
36, 186, 164
37, 191, 173
38, 192, 182
39, 196, 192
40, 200, 202
41, 205, 212
42, 211, 222
43, 210, 233
44, 222, 244
45, 225, 255
46, 234, 266
47, 230, 278
48, 231, 290
49, 234, 302
50, 234, 314
51, 244, 327
52, 258, 340
53, 282, 353
54, 287, 366
55, 292, 380
56, 284, 394
57, 270, 408
58, 273, 422
59, 284, 437
60, 275, 452
61, 278, 467
62, 284, 482
63, 281, 498
64, 276, 514
65, 284, 530
66, 285, 546
67, 290, 563
68, 291, 580
69, 298, 597
70, 298, 614
71, 309, 632
72, 311, 650
73, 317, 668
74, 314, 686
75, 319, 705
76, 326, 724
77, 325, 743
78, 330, 762
79, 331, 782
80, 340, 802
81, 337, 822
82, 388, 842
83, 380, 863
84, 380, 884
85, 416, 905
86, 389, 926
87, 403, 948
88, 443, 970
89, 511, 992
90, 432, 1014
91, 430, 1037
92, 439, 1060
93, 449, 1083
94, 497, 1106
95, 474, 1130
96, 476, 1154
97, 453, 1178
98, 477, 1202
99, 456, 1227
100, 442, 1252
101, 450, 1277
102, 464, 1302
103, 463, 1328
104, 419, 1354
105, 431, 1380
106, 431, 1406
107, 448, 1433
108, 489, 1460
109, 454, 1487
110, 445, 1514
111, 449, 1542
112, 458, 1570
113, 496, 1598
114, 520, 1626
115, 476, 1655
116, 480, 1684
117, 480, 1713
118, 504, 1742
119, 480, 1772
120, 475, 1802
121, 468, 1832
122, 482, 1862
123, 506, 1893
124, 478, 1924
125, 490, 1955
126, 490, 1986
127, 492, 2018